
Summary,UTOPIA
Emissions
,CO2,162.842
,NOX,170.895

Cost,26629.4

TID Demand

,UTOPIA

,CSV
1990,0.5,0,0.13,0.5,0.3,41.2,0,6.10303,0,0,0,25.2,5.6,0.1,5.2,0,0,3.01384,0,0,0
1991,0.5,0,0.14,0.5,0.3,43.26,0,6.6255,0,0,0,26.46,5.88,0.1,5.46,0,0,3.36638,0,0,0
1992,0.5,0,0.14,0.5,0.29,45.32,0,7.3255,0,0,0,27.72,6.16,0.1,5.72,0,0,3.54138,0,0,0
1993,0.4,0,0.15,0.5,0.29,47.38,0,7.84796,0,0,0,28.98,6.44,0.1,5.98,0,0,3.89391,0,0,0
1994,0.4,0,0.15,0.5,0.28,49.44,0,8.62256,0,0,0,30.24,6.72,0.1,6.24,0,0,3.99431,0,0,0
1995,0.4,0,0.15,0.5,0.28,51.5,0,9.49756,0,0,0,31.5,7,0.1,6.5,0,0,3.99431,0,0,0
1996,0.4,0,0.16,0.5,0.27,53.56,0,10.1063,0,0,0,32.76,7.28,0.1,6.76,0,0,4.2606,0,0,0
1997,0.4,0,0.16,0.5,0.27,55.62,0,10.9813,0,0,0,34.02,7.56,0.1,7.02,0,0,4.2606,0,0,0
1998,0.4,0,0.16,0.5,0.26,57.68,0,11.8563,0,0,0,35.28,7.84,0.1,7.28,0,0,4.2606,0,0,0
1999,0.322213,0,0.16,0.5,0.26,59.74,0,12.7313,0,0,0,36.54,8.12,0.1,7.54,0,0,4.2606,0,0,0
2000,0.342213,0,0.17,0.5,0.25,57.7164,0,22.2729,0,0,2.85854,35.24,8.4,0.1,7.8,0,0,4.52689,0,0,0
2001,0.497247,0,0.2,0.5,0.26,56.8176,0,31.5099,0,0,5.65,34.04,8.82,0.1,8.189,0,0,5.32575,0,0,0
2002,0.683453,0,0.2,0.5,0.26,55.3494,0,42.7911,0,0,8.84,32.74,9.24,0.1,8.578,0,0,5.32575,0,0,0
2003,0.864378,0,0.2,0.5,0.27,54.0241,0,53.7599,0,0,11.93,31.54,9.66,0.1,8.967,0,0,5.32575,0,0,0
2004,1.05058,0,0.2,0.5,0.27,52.556,0,65.0411,0,0,15.12,30.24,10.08,0.1,9.356,0,0,5.32575,0,0,0
2005,1.23151,0,0.2,0.5,0.28,51.2307,0,76.0099,0,0,18.21,29.04,10.5,0.1,9.745,0,0,5.32575,0,0,0
2006,1.41772,0,0.2,0.5,0.28,49.7626,0,87.2911,0,0,21.4,27.74,10.92,0.1,10.134,0,0,5.32575,0,0,0
2007,1.60451,0,0.2,0.5,0.29,48.4373,0,98.2599,0,0,24.49,26.54,11.34,0.1,10.523,0,0,5.32575,0,0,0
2008,1.82327,0,0.2,0.5,0.29,46.9691,0,109.541,0,0,27.68,25.24,11.76,0.1,10.912,0,0,5.32575,0,0,0
2009,2.06106,0,0.2,0.5,0.3,45.6439,0,120.51,0,0,30.77,24.04,12.18,0.1,11.301,0,0,5.32575,0,0,0
2010,2.30339,0,0.21,0.5,0.2,44.1757,0,131.525,0,0,33.96,22.74,12.6,0.1,11.69,0,0,5.59204,0,0,0

NewCapacity (Capacity Units )

,E01,E21,E31,E51,E70,IMPDSL1,IMPGSL1,IMPHCO1,IMPOIL1,IMPURN1,RHE,RHO,RL1,SRE,TXD,TXE,TXG,RIV,RHu,RLu,TXu
1990,0,0,0.03,0,0,41.2,0,6.10303,0,0,0,0.2,0,0.1,4.6,0,0,3.01384,0,0,0
1991,0,0,0.01,0,0,43.26,0,6.6255,0,0,0,2.46,0.88,0,0.26,0,0,3.36638,0,0,0
