city,country,population,continent
PORT HEDLAND,AUSTRALIA,14288,OCEANIA
BALLINA,AUSTRALIA,14242,OCEANIA
WANGARATTA,AUSTRALIA,14022,OCEANIA
PORT AUGUSTA,AUSTRALIA,13897,OCEANIA
RICHMOND,AUSTRALIA,13880,OCEANIA
SINGLETON,AUSTRALIA,13813,OCEANIA
BONGAREE,AUSTRALIA,13649,OCEANIA
PORT LINCOLN,AUSTRALIA,13630,OCEANIA
BROOME,AUSTRALIA,13218,OCEANIA
HORSHAM,AUSTRALIA,12830,OCEANIA
PORT PIRIE,AUSTRALIA,12506,OCEANIA
WARWICK,AUSTRALIA,12347,OCEANIA
KEMPSEY,AUSTRALIA,11840,OCEANIA
PORTLAND,AUSTRALIA,11808,OCEANIA
GYMPIE,AUSTRALIA,11649,OCEANIA
MUSWELLBROOK,AUSTRALIA,11630,OCEANIA
PARKES,AUSTRALIA,11137,OCEANIA
LITHGOW,AUSTRALIA,11128,OCEANIA
BAIRNSDALE,AUSTRALIA,11005,OCEANIA
BOWEN,AUSTRALIA,10983,OCEANIA
YEPPOON,AUSTRALIA,10769,OCEANIA
BATEMANS BAY,AUSTRALIA,10557,OCEANIA
KIAMA,AUSTRALIA,10379,OCEANIA
BUSSELTON,AUSTRALIA,10214,OCEANIA
INNISFAIL,AUSTRALIA,10143,OCEANIA
KATHERINE,AUSTRALIA,10141,OCEANIA
MORANBAH,AUSTRALIA,10000,OCEANIA
GRAFTON,AUSTRALIA,9955,OCEANIA
DALBY,AUSTRALIA,9847,OCEANIA
CHARTERS TOWERS,AUSTRALIA,9573,OCEANIA
EMERALD,AUSTRALIA,9398,OCEANIA
SWAN HILL,AUSTRALIA,9276,OCEANIA
ULLADULLA,AUSTRALIA,9250,OCEANIA
COLAC,AUSTRALIA,9089,OCEANIA
AYR,AUSTRALIA,9078,OCEANIA
HAMILTON,AUSTRALIA,8869,OCEANIA
KINGAROY,AUSTRALIA,8573,OCEANIA
INVERELL,AUSTRALIA,8561,OCEANIA
MOREE,AUSTRALIA,8203,OCEANIA
DENILIQUIN,AUSTRALIA,8024,OCEANIA
ESPERANCE,AUSTRALIA,7888,OCEANIA
VICTOR HARBOR,AUSTRALIA,7760,OCEANIA
YOUNG,AUSTRALIA,7501,OCEANIA
CARNARVON,AUSTRALIA,7392,OCEANIA
LEETON,AUSTRALIA,7299,OCEANIA
GUNNEDAH,AUSTRALIA,7148,OCEANIA
NARRABRI,AUSTRALIA,7082,OCEANIA
MARYBOROUGH,AUSTRALIA,7046,OCEANIA
STAWELL,AUSTRALIA,6991,OCEANIA
ATHERTON,AUSTRALIA,6959,OCEANIA
COWRA,AUSTRALIA,6795,OCEANIA
BYRON BAY,AUSTRALIA,6764,OCEANIA
TUMUT,AUSTRALIA,6526,OCEANIA
COOMA,AUSTRALIA,6520,OCEANIA
MERIMBULA,AUSTRALIA,6367,OCEANIA
BILOELA,AUSTRALIA,6309,OCEANIA
INGHAM,AUSTRALIA,6127,OCEANIA
BATHURST,AUSTRALIA,6111,OCEANIA
ARARAT,AUSTRALIA,6110,OCEANIA
WONTHAGGI,AUSTRALIA,5985,OCEANIA
NORTHAM,AUSTRALIA,5855,OCEANIA
KUNUNURRA,AUSTRALIA,5679,OCEANIA
ROMA,AUSTRALIA,5496,OCEANIA
MUDGEE,AUSTRALIA,5391,OCEANIA
FORBES,AUSTRALIA,4838,OCEANIA
BERRI,AUSTRALIA,4716,OCEANIA
COBRAM,AUSTRALIA,4659,OCEANIA
SCONE,AUSTRALIA,4624,OCEANIA
GOONDIWINDI,AUSTRALIA,4251,OCEANIA
MANJIMUP,AUSTRALIA,4240,OCEANIA
NARROGIN,AUSTRALIA,4238,OCEANIA
SMITHTON,AUSTRALIA,4202,OCEANIA
PROSERPINE,AUSTRALIA,3976,OCEANIA
KATANNING,AUSTRALIA,3934,OCEANIA
SEYMOUR,AUSTRALIA,3693,OCEANIA
CLARE,AUSTRALIA,3061,OCEANIA
CENTRAL COAST,AUSTRALIA,3026,OCEANIA
PORT DOUGLAS,AUSTRALIA,3000,OCEANIA
LONGREACH,AUSTRALIA,2894,OCEANIA
WEIPA,AUSTRALIA,2830,OCEANIA
WALLAROO,AUSTRALIA,2779,OCEANIA
TOM PRICE,AUSTRALIA,2723,OCEANIA
BORDERTOWN,AUSTRALIA,2583,OCEANIA
BOURKE,AUSTRALIA,2475,OCEANIA
SCOTTSDALE,AUSTRALIA,2468,OCEANIA
QUEENSTOWN,AUSTRALIA,2352,OCEANIA
CHARLEVILLE,AUSTRALIA,1900,OCEANIA
YAMBA,AUSTRALIA,1806,OCEANIA
TUMBY BAY,AUSTRALIA,1791,OCEANIA
MOUNT BARKER,AUSTRALIA,1781,OCEANIA
WAGIN,AUSTRALIA,1598,OCEANIA
KALBARRI,AUSTRALIA,1537,OCEANIA
PENOLA,AUSTRALIA,1514,OCEANIA
OUYEN,AUSTRALIA,1400,OCEANIA
CLONCURRY,AUSTRALIA,1202,OCEANIA
OATLANDS,AUSTRALIA,1157,OCEANIA
RAVENSTHORPE,AUSTRALIA,1101,OCEANIA
BARCALDINE,AUSTRALIA,1068,OCEANIA
STREAKY BAY,AUSTRALIA,1060,OCEANIA
WYNDHAM,AUSTRALIA,800,OCEANIA
MEEKATHARRA,AUSTRALIA,654,OCEANIA
QUILPIE,AUSTRALIA,560,OCEANIA
HUGHENDEN,AUSTRALIA,421,OCEANIA
MORAWA,AUSTRALIA,259,OCEANIA
KINGSTON SOUTH EAST,AUSTRALIA,206,OCEANIA
THREE SPRINGS,AUSTRALIA,190,OCEANIA
NEWMAN,AUSTRALIA,5138,OCEANIA
MCMINNS LAGOON,AUSTRALIA,5025,OCEANIA
MERREDIN,AUSTRALIA,2668,OCEANIA
PETERBOROUGH,AUSTRALIA,1689,OCEANIA
